mutant-id|timeToExecute|0-nodeRNG|1-mathRNG|2-cryptoRNG|3-sha1 node|4-sha1 browser|5-md5 node|6-md5 browser|7-v3|8-v5|9-uuids with current time|10-uuids with time option|11-msec|12-exception thrown when > 10k ids created in 1ms|13-clock regression by msec|14-clock regression by nsec|15-explicit options product expected id|16-ids spanning 1ms boundary are 100ns apart
MUTANT 254|3992ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 253|4331ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 255|3879ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 257|4151ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 258|3984ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 259|4178ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 260|3497ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 261|3961ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 262|3964ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 263|4440ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 264|4652ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 266|4087ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 265|4210ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 267|3470ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 268|3665ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 270|3580ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 269|3737ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 271|3819ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 272|3697ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 273|3892ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 274|3855ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 275|3691ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
MUTANT 276|3683ms|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1
